,id,time,geometry,Throttle Position.value,Throttle Position.unit,CO2.value,CO2.unit,GPS VDOP.value,GPS VDOP.unit,GPS Bearing.value,GPS Bearing.unit,GPS Speed.value,GPS Speed.unit,GPS Altitude.value,GPS Altitude.unit,Rpm.value,Rpm.unit,GPS Accuracy.value,GPS Accuracy.unit,GPS HDOP.value,GPS HDOP.unit,Intake Temperature.value,Intake Temperature.unit,Speed.value,Speed.unit,Intake Pressure.value,Intake Pressure.unit,Consumption.value,Consumption.unit,Calculated MAF.value,Calculated MAF.unit,Engine Load.value,Engine Load.unit,GPS PDOP.value,GPS PDOP.unit,track.id,track.length,track.begin,track.end,sensor.type,sensor.engineDisplacement,sensor.model,sensor.id,sensor.fuelType,sensor.constructionYear,sensor.manufacturer,track.appVersion,track.touVersion,O2 Lambda Voltage ER.value,O2 Lambda Voltage ER.unit,MAF.value,MAF.unit,O2 Lambda Voltage.value,O2 Lambda Voltage.unit
241,5de9d7a03bdb691868e766c1,2019-11-27T15:16:59,POINT (7.590985228690086 51.96533719694476),13.0,%,2.576982,kg/h,1.534569,precision,277.035391,deg,5.633034,km/h,103.373318,m,770.349582,u/min,6.0,%,0.874349,precision,18.0,c,4.430481,km/h,30.07337,kPa,1.096588,l/h,3.335912,g/s,31.742508,%,1.771744,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
242,5de9d7a03bdb691868e766c2,2019-11-27T15:17:04,POINT (7.59092094479599 51.96533835380223),16.0,%,7.043942,kg/h,1.251904,precision,276.498093,deg,2.087386,km/h,103.757826,m,1179.050084,u/min,6.0,%,0.851904,precision,19.0,c,3.699284,km/h,53.892858,kPa,2.997422,l/h,9.118408,g/s,55.993128,%,1.503808,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
243,5de9d7a03bdb691868e766c3,2019-11-27T15:17:09,POINT (7.590789790879221 51.96534331996389),18.0,%,7.44915,kg/h,1.146885,precision,273.704418,deg,5.308025,km/h,106.119232,m,1170.554987,u/min,6.0,%,0.8,precision,19.0,c,5.695761,km/h,57.406698,kPa,3.169851,l/h,9.64295,g/s,59.942247,%,1.4,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
244,5de9d7a03bdb691868e766c4,2019-11-27T15:17:14,POINT (7.590520342930442 51.9653569485107),15.0,%,5.4966,kg/h,1.7,precision,275.564565,deg,15.122456,km/h,106.66374,m,1900.550409,u/min,6.0,%,1.0,precision,18.0,c,15.0,km/h,26.000001,kPa,2.338979,l/h,7.115368,g/s,27.450981,%,2.0,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
245,5de9d7a03bdb691868e766c5,2019-11-27T15:17:19,POINT (7.590231180063655 51.9653730649452),13.0,%,2.543853,kg/h,1.330315,precision,275.273006,deg,13.230486,km/h,106.731639,m,794.2,u/min,6.0,%,0.897736,precision,17.999999,c,12.526912,km/h,28.795238,kPa,1.08249,l/h,3.293026,g/s,30.174956,%,1.630315,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
246,5de9d7a03bdb691868e766c6,2019-11-27T15:17:24,POINT (7.590014055278672 51.96538575404756),13.0,%,2.479547,kg/h,1.229909,precision,275.102069,deg,9.196437,km/h,106.742423,m,789.764967,u/min,4.0,%,0.864955,precision,17.999999,c,8.192744,km/h,28.224939,kPa,1.055126,l/h,3.209782,g/s,29.757952,%,1.529909,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
247,5de9d7a03bdb691868e766c7,2019-11-27T15:17:29,POINT (7.589878444054835 51.9653942056365),13.0,%,2.478259,kg/h,1.1,precision,274.80057,deg,5.123518,km/h,106.753298,m,745.200492,u/min,4.0,%,0.811717,precision,18.999999,c,4.121495,km/h,30.0,kPa,1.054578,l/h,3.208115,g/s,31.372548,%,1.411717,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
248,5de9d7a03bdb691868e766c8,2019-11-27T15:17:34,POINT (7.589792288659136 51.96540227025749),15.672727,%,6.209308,kg/h,1.105796,precision,275.975046,deg,6.466789,km/h,106.615746,m,990.729197,u/min,4.0,%,0.805796,precision,19.0,c,7.625899,km/h,56.537413,kPa,2.642259,l/h,8.037971,g/s,58.352223,%,1.405796,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
249,5de9d7a03bdb691868e766c9,2019-11-27T15:17:40,POINT (7.589564965451125 51.96541582694214),14.152231,%,4.351031,kg/h,1.015522,precision,276.953686,deg,13.611686,km/h,106.423666,m,1567.40646,u/min,4.0,%,0.807761,precision,18.0,c,14.0,km/h,24.955665,kPa,1.851503,l/h,5.632425,g/s,26.459296,%,1.315522,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
250,5de9d7a03bdb691868e766ca,2019-11-27T15:17:45,POINT (7.589407528667009 51.96542804081741),13.0,%,2.562238,kg/h,1.528075,precision,277.205306,deg,2.175081,km/h,105.877632,m,765.312902,u/min,4.0,%,1.056845,precision,19.0,c,0.0,km/h,30.201475,kPa,1.090314,l/h,3.316826,g/s,31.396825,%,1.813691,precision,5de9d7a03bdb691868e765cd,9.223906243734975,2019-11-27T14:56:33Z,2019-11-27T15:18:46Z,car,1699,A 170,559e22c2e4b07207d8977998,gasoline,2004,Mercedes Benz,,,,,,,,
